id,cliente,dispositivo,marca,prioridad,horas,estado,costoBase,garantia,repuestos,modalidad
P081,Persona81,celular,Sur,3,2,ENTREGADA,9000,SI,100,NORMAL
P082,Persona82,notebook,Nexo,1,3,ABIERTA,9100,NO,200,EXPRESS
P083,Persona83,tablet,Andes,2,1,ENTREGADA,9200,SI,300,NORMAL
P084,Persona84,consola,Sur,3,4,ABIERTA,9300,NO,400,EXPRESS
P085,Persona85,celular,Nexo,1,5,ENTREGADA,9400,SI,500,NORMAL
P086,Persona86,notebook,Andes,2,2,ABIERTA,9500,NO,600,EXPRESS
P087,Persona87,tablet,Sur,3,3,ENTREGADA,9600,SI,700,NORMAL
P088,Persona88,consola,Nexo,1,1,ABIERTA,9700,NO,800,EXPRESS
P089,Persona89,celular,Andes,2,4,ENTREGADA,9800,SI,900,NORMAL
P090,Persona90,notebook,Sur,3,5,CANCELADA,9900,NO,0,EXPRESS
P091,Persona91,tablet,Nexo,1,2,ENTREGADA,10000,SI,100,NORMAL
P092,Persona92,consola,Andes,2,3,ABIERTA,10100,NO,200,EXPRESS
P093,Persona93,celular,Sur,3,1,ENTREGADA,10200,SI,300,NORMAL
P094,Persona94,notebook,Nexo,1,4,ABIERTA,10300,NO,400,EXPRESS
P095,Persona95,tablet,Andes,2,5,ENTREGADA,10400,SI,500,NORMAL
P096,Persona96,consola,Sur,3,2,ABIERTA,10500,NO,600,EXPRESS
P097,Persona97,celular,Nexo,1,3,ENTREGADA,10600,SI,700,NORMAL
P098,Persona98,notebook,Andes,2,1,ABIERTA,10700,NO,800,EXPRESS
P099,Persona99,tablet,Sur,3,4,ENTREGADA,10800,SI,900,NORMAL
P100,Persona100,consola,Nexo,1,5,CANCELADA,10900,NO,0,EXPRESS
P101,Persona101,celular,Andes,2,2,ENTREGADA,11000,SI,100,NORMAL
P102,Persona102,notebook,Sur,3,3,ABIERTA,11100,NO,200,EXPRESS
P103,Persona103,tablet,Nexo,1,1,ENTREGADA,11200,SI,300,NORMAL
P104,Persona104,consola,Andes,2,4,ABIERTA,11300,NO,400,EXPRESS
P105,Persona105,celular,Sur,3,5,ENTREGADA,11400,SI,500,NORMAL
P106,Persona106,notebook,Nexo,1,2,ABIERTA,11500,NO,600,EXPRESS
P107,Persona107,tablet,Andes,2,3,ENTREGADA,11600,SI,700,NORMAL
P108,Persona108,consola,Sur,3,1,ABIERTA,11700,NO,800,EXPRESS
P109,Persona109,celular,Nexo,1,4,ENTREGADA,11800,SI,900,NORMAL
P110,Persona110,notebook,Andes,2,5,CANCELADA,11900,NO,0,EXPRESS
P111,Persona111,tablet,Sur,3,2,ENTREGADA,12000,SI,100,NORMAL
P112,Persona112,consola,Nexo,1,3,ABIERTA,12100,NO,200,EXPRESS
P113,Persona113,celular,Andes,2,1,ENTREGADA,12200,SI,300,NORMAL
P114,Persona114,notebook,Sur,3,4,ABIERTA,12300,NO,400,EXPRESS
P115,Persona115,tablet,Nexo,1,5,ENTREGADA,12400,SI,500,NORMAL
P116,Persona116,consola,Andes,2,2,ABIERTA,12500,NO,600,EXPRESS
P117,Persona117,celular,Sur,3,3,ENTREGADA,12600,SI,700,NORMAL
P118,Persona118,notebook,Nexo,1,1,ABIERTA,12700,NO,800,EXPRESS
P119,Persona119,tablet,Andes,2,4,ENTREGADA,12800,SI,900,NORMAL
P120,Persona120,consola,Sur,3,5,CANCELADA,12900,NO,0,EXPRESS
P121,Persona121,celular,Nexo,1,2,ENTREGADA,13000,SI,100,NORMAL
P122,Persona122,notebook,Andes,2,3,ABIERTA,13100,NO,200,EXPRESS
P123,Persona123,tablet,Sur,3,1,ENTREGADA,13200,SI,300,NORMAL
P124,Persona124,consola,Nexo,1,4,ABIERTA,13300,NO,400,EXPRESS
P125,Persona125,celular,Andes,2,5,ENTREGADA,13400,SI,500,NORMAL
P126,Persona126,notebook,Sur,3,2,ABIERTA,13500,NO,600,EXPRESS
P127,Persona127,tablet,Nexo,1,3,ENTREGADA,13600,SI,700,NORMAL
P128,Persona128,consola,Andes,2,1,ABIERTA,13700,NO,800,EXPRESS
P129,Persona129,celular,Sur,3,4,ENTREGADA,13800,SI,900,NORMAL
P130,Persona130,notebook,Nexo,1,5,CANCELADA,13900,NO,0,EXPRESS
P131,Persona131,tablet,Andes,2,2,ENTREGADA,14000,SI,100,NORMAL
P132,Persona132,consola,Sur,3,3,ABIERTA,14100,NO,200,EXPRESS
P133,Persona133,celular,Nexo,1,1,ENTREGADA,14200,SI,300,NORMAL
P134,Persona134,notebook,Andes,2,4,ABIERTA,14300,NO,400,EXPRESS
P135,Persona135,tablet,Sur,3,5,ENTREGADA,14400,SI,500,NORMAL
P136,Persona136,consola,Nexo,1,2,ABIERTA,14500,NO,600,EXPRESS
P137,Persona137,celular,Andes,2,3,ENTREGADA,14600,SI,700,NORMAL
P138,Persona138,notebook,Sur,3,1,ABIERTA,14700,NO,800,EXPRESS
P139,Persona139,tablet,Nexo,1,4,ENTREGADA,14800,SI,900,NORMAL
P140,Persona140,consola,Andes,2,5,CANCELADA,14900,NO,0,EXPRESS
